District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability
Dima-Hasao,1530,(Haflong | 1530),551,576,350,52,1
Tamulpur,188,"(Goreswar | 0), (Tamulpur | 188)",76,56,56,0,0
Kokrajhar,6833,"(Dotma | 0), (Bhawraguri | 1692), (Gossaigaon | 1917), (Kokrajhar | 3224)",2684,2324,1779,45,1
Bajali,2990,"(Sarupeta | 0), (Bajali | 2990)",1251,1392,325,22,0
Udalguri,1876,"(Khairabari | 0), (Harisinga | 0), (Udalguri | 1025), (Mazbat | 310), (Kalaigaon | 541)",776,573,503,24,0
Tinsukia,2165,"(Tinsukia | 0), (Doomdooma | 2165)",863,777,415,110,0
Tamulpur,1427,"(Tamulpur | 440), (Goreswar | 987)",402,400,625,0,0
Nalbari,15103,"(Banekuchi | 2329), (Barkhetri | 0), (Paschim Nalbari | 2815), (Nalbari | 3247), (Tihu | 6065), (Ghograpar | 281), (Barbhag | 366)",8284,4675,2059,69,16
Nagaon,924,"(Raha | 0), (Kampur | 924)",345,310,261,6,2
Kokrajhar,19579,"(Bagribari | 1516), (Kokrajhar | 5880), (Bhawraguri | 1692), (Gossaigaon | 2179), (Dotma | 8312)",7093,6625,5803,57,1
Kamrup (M),697,"(Chandrapur | 0), (Guwahati | 77), (Dispur | 620)",171,341,185,0,0
Kamrup,5301,"(Kayan | 4332), (Goroimari | 0), (Palashbari | 0), (Chaygaon | 0), (Kamalpur | 0), (Boko | 0), (North Ghy | 221), (Hajo | 0), (Rangia | 748)",2405,1774,1097,25,0
Sonitpur,66,"(Dhekiajuli | 0), (Naduar | 0), (Tezpur | 0), (Chariduar | 66)",30,21,15,0,0
Goalpara,5118,"(Balijana | 2563), (Dudhnoi | 0), (Rongjuli | 0), (Lakhipur | 1971), (Matia | 584)",2132,1635,1233,103,15
Hojai,29745,"(Lanka | 0), (Hojai | 27730), (Doboka | 2015)",16014,12297,1426,6,2
Barpeta,6112,"(Baghbar | 0), (Kalgachia | 0), (Barnagar | 0), (Chenga | 280), (Barpeta | 5294), (Sarthebari | 538)",2185,2144,1772,11,0
Bongaigaon,4441,"(Srijangram | 1569), (Manikpur | 582), (Bongaigaon | 153), (Boitamari | 480), (Dangtol | 1657)",2039,1593,699,110,0
Chirang,96,"(Sidli | 0), (Bengtal | 0), (Bijni | 96)",33,31,29,3,0
Baksa,1853,"(Baganpara | 0), (Barnagar RC part | 0), (Baska | 1469), (Barama | 314), (Jalah | 70)",642,753,442,8,8
Darrang,5085,"(Dalgaon | 0), (Sipajhar | 377), (Patharighat | 234), (Mangaldoi | 4474)",2043,1713,1327,1,1
Dhubri,4050,"(South Salmara Part | 0), (Athani | 318), (Bilasipara | 3509), (Agamoni | 0), (Chapar | 223)",1207,1756,1086,1,0
Dima-Hasao,1476,(Haflong | 1476),527,566,333,49,1
Bajali,5722,"(Bajali | 4060), (Sarupeta | 1662)",2418,2633,578,77,16
Barpeta,26537,"(Baghbar | 0), (Kalgachia | 0), (Chenga | 2311), (Barpeta | 23603), (Barnagar | 0), (Sarthebari | 623)",10608,8947,6959,22,1
Bongaigaon,4911,"(Bongaigaon | 0), (Dangtol | 0), (Srijangram | 3671), (Manikpur | 760), (Boitamari | 480)",2455,1889,520,47,0
Cachar,111,"(Silchar | 46), (Katigorah | 65), (Udharbond | 0), (Lakhipur | 0), (Sonai | 0)",49,36,26,0,0
Chirang,3603,"(Sidli | 0), (Bijni | 3440), (Bengtal | 163)",1597,1268,715,23,0
Darrang,7156,"(Dalgaon | 1670), (Mangaldoi | 4474), (Sipajhar | 511), (Patharighat | 501)",2655,2465,2011,24,1
Dhubri,7290,"(Dhubri | 0), (Gauripur | 0), (South Salmara Part | 0), (Bilasipara | 6545), (Athani | 503), (Golakganj | 66), (Chapar | 176)",2261,2893,2115,21,0
Dima-Hasao,1630,(Haflong | 1630),583,620,369,57,1
Goalpara,12132,"(Balijana | 5945), (Lakhipur | 5603), (Rongjuli | 0), (Matia | 584)",5336,4072,2588,116,20
Hojai,37785,"(Lanka | 0), (Hojai | 35404), (Doboka | 2381)",19881,17142,755,4,3
