District,Total,Relief Camp,Relief Distribution Centres
Hojai,47,"36(Hojai | 25, Doboka | 11, Lanka | 0)","11(Hojai | 0, Doboka | 6, Lanka | 5)"
Kamrup,16,"16(Rangia | 5, Kayan | 3, North Ghy | 2, Hajo | 6)","0(Rangia | 0, Kayan | 0, North Ghy | 0, Hajo | 0)"
Kamrup (M),24,"5(Guwahati | 2, Dispur | 3)","19(Guwahati | 12, Dispur | 7)"
Karbi Anglong West,4,0(Donkamokam | 0),4(Donkamokam | 4)
Kokrajhar,128,"56(Bagribari | 7, Kokrajhar | 24, Bhawraguri | 6, Gossaigaon | 11, Dotma | 8)","72(Bagribari | 0, Kokrajhar | 27, Bhawraguri | 16, Gossaigaon | 0, Dotma | 29)"
Lakhimpur,7,"0(North Lakhimpur | 0, Subansiri | 0, Kadam | 0)","7(North Lakhimpur | 2, Subansiri | 3, Kadam | 2)"
Nagaon,3,3(Kampur | 3),0(Kampur | 0)
Sonitpur,9,"1(Chariduar | 1, Dhekiajuli | 0)","8(Chariduar | 3, Dhekiajuli | 5)"
Darrang,13,"13(Patharighat | 2, Mangaldoi | 9, Sipajhar | 2)","0(Patharighat | 0, Mangaldoi | 0, Sipajhar | 0)"
Bajali,43,"42(Bajali | 33, Sarupeta | 9)","1(Bajali | 0, Sarupeta | 1)"
Nalbari,81,"74(Ghograpar | 2, Tihu | 18, Nalbari | 16, Banekuchi | 17, Paschim Nalbari | 10, Barbhag | 11)","7(Ghograpar | 3, Tihu | 0, Nalbari | 4, Banekuchi | 0, Paschim Nalbari | 0, Barbhag | 0)"
Kamrup,25,"15(Rangia | 7, Kamalpur | 3, North Ghy | 2, Hajo | 3, Kayan | 0)","10(Rangia | 1, Kamalpur | 0, North Ghy | 2, Hajo | 1, Kayan | 6)"
Hojai,56,"46(Hojai | 34, Doboka | 12, Lanka | 0)","10(Hojai | 0, Doboka | 4, Lanka | 6)"
Goalpara,72,"44(Matia | 3, Balijana | 20, Lakhipur | 21)","28(Matia | 1, Balijana | 6, Lakhipur | 21)"
Karimganj,8,"2(Badarpur | 1, Patherkandi | 1, Karimganj | 0)","6(Badarpur | 0, Patherkandi | 0, Karimganj | 6)"
Kokrajhar,37,"28(Bhawraguri | 1, Gossaigaon | 4, Dotma | 8, Kokrajhar | 6, Bagribari | 9)","9(Bhawraguri | 8, Gossaigaon | 1, Dotma | 0, Kokrajhar | 0, Bagribari | 0)"
Lakhimpur,32,"0(Subansiri | 0, Bihpuria | 0, Dhakuakhana | 0, North Lakhimpur | 0, Kadam | 0, Nowboicha | 0)","32(Subansiri | 10, Bihpuria | 6, Dhakuakhana | 6, North Lakhimpur | 4, Kadam | 1, Nowboicha | 5)"
Nagaon,13,"13(Raha | 2, Kampur | 7, Nagaon | 4)","0(Raha | 0, Kampur | 0, Nagaon | 0)"
Baksa,17,"11(Baska | 6, Baganpara | 1, Barama | 4, Jalah | 0)","6(Baska | 0, Baganpara | 1, Barama | 1, Jalah | 4)"
Sonitpur,52,"2(Chariduar | 1, Dhekiajuli | 1, Thelamara | 0, Tezpur | 0)","50(Chariduar | 21, Dhekiajuli | 11, Thelamara | 17, Tezpur | 1)"
Tamulpur,36,"17(Goreswar | 7, Tamulpur | 10)","19(Goreswar | 11, Tamulpur | 8)"
Tinsukia,4,4(Doomdooma | 4),0(Doomdooma | 0)
Kamrup (M),12,"3(Guwahati | 2, Dispur | 1)","9(Guwahati | 4, Dispur | 5)"
Dima-Hasao,26,25(Haflong | 25),1(Haflong | 1)
Dhemaji,23,"0(Dhemaji | 0, Gogamukh | 0, Sissiborgaon | 0, Jonai | 0)","23(Dhemaji | 2, Gogamukh | 13, Sissiborgaon | 4, Jonai | 4)"
